source	target	relation	type	attributes
INST::366817::17::17::13::вам	LEM::вам::PRON	instance_of	instance_of	"{""type"": ""instance_of""}"
INST::366817::17::17::13::вам	INST::366817::17::17::14::потребуются	adj	adj	"{""type"": ""adj"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 17, \""sent_id\"": \""17\"", \""i\"": 13}""]}"
INST::366817::17::17::14::потребуются	LEM::потребоваться::VERB	instance_of	instance_of	"{""type"": ""instance_of""}"
INST::366817::17::17::14::потребуются	INST::366817::17::17::1::того	obl	dep	"{""type"": ""dep"", ""label"": ""obl"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 17, \""sent_id\"": \""17\"", \""head_idx\"": 14, \""dep_idx\"": 1}""]}"
INST::366817::17::17::14::потребуются	INST::366817::17::17::13::вам	iobj	dep	"{""type"": ""dep"", ""label"": ""iobj"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 17, \""sent_id\"": \""17\"", \""head_idx\"": 14, \""dep_idx\"": 13}""]}"
INST::366817::17::17::14::потребуются	INST::366817::17::17::14::потребуются	ROOT	dep	"{""type"": ""dep"", ""label"": ""ROOT"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 17, \""sent_id\"": \""17\"", \""head_idx\"": 14, \""dep_idx\"": 14}""]}"
INST::366817::18::18::1::паспорт	LEM::паспорт::NOUN	instance_of	instance_of	"{""type"": ""instance_of""}"
INST::366817::18::18::1::паспорт	INST::366817::18::18::1::паспорт	ROOT	dep	"{""type"": ""dep"", ""label"": ""ROOT"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 18, \""sent_id\"": \""18\"", \""head_idx\"": 1, \""dep_idx\"": 1}""]}"
INST::366817::19::19::1::документы	LEM::документ::NOUN	instance_of	instance_of	"{""type"": ""instance_of""}"
INST::366817::19::19::1::документы	INST::366817::19::19::1::документы	ROOT	dep	"{""type"": ""dep"", ""label"": ""ROOT"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 19, \""sent_id\"": \""19\"", \""head_idx\"": 1, \""dep_idx\"": 1}""]}"
INST::366817::19::19::1::документы	INST::366817::19::19::2::выданные	acl	dep	"{""type"": ""dep"", ""label"": ""acl"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 19, \""sent_id\"": \""19\"", \""head_idx\"": 1, \""dep_idx\"": 2}""]}"
INST::366817::19::19::1::документы	INST::366817::19::19::2::выданные	adj	adj	"{""type"": ""adj"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 19, \""sent_id\"": \""19\"", \""i\"": 1}""]}"
INST::366817::19::19::2::выданные	LEM::выдать::VERB	instance_of	instance_of	"{""type"": ""instance_of""}"
INST::366817::19::19::2::выданные	INST::366817::19::19::3::пределами	obl	dep	"{""type"": ""dep"", ""label"": ""obl"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 19, \""sent_id\"": \""19\"", \""head_idx\"": 2, \""dep_idx\"": 3}""]}"
INST::366817::19::19::2::выданные	INST::366817::19::19::3::пределами	adj	adj	"{""type"": ""adj"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 19, \""sent_id\"": \""19\"", \""i\"": 2}""]}"
INST::366817::19::19::3::пределами	LEM::предел::NOUN	instance_of	instance_of	"{""type"": ""instance_of""}"
INST::366817::19::19::3::пределами	INST::366817::19::19::5::Федерации	nmod	dep	"{""type"": ""dep"", ""label"": ""nmod"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 19, \""sent_id\"": \""19\"", \""head_idx\"": 3, \""dep_idx\"": 5}""]}"
INST::366817::19::19::3::пределами	INST::366817::19::19::4::Российской	adj	adj	"{""type"": ""adj"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 19, \""sent_id\"": \""19\"", \""i\"": 3}""]}"
INST::366817::19::19::4::Российской	LEM::российский::ADJ	instance_of	instance_of	"{""type"": ""instance_of""}"
INST::366817::19::19::4::Российской	INST::366817::19::19::5::Федерации	adj	adj	"{""type"": ""adj"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 19, \""sent_id\"": \""19\"", \""i\"": 4}""]}"
INST::366817::19::19::5::Федерации	LEM::федерация::PROPN	instance_of	instance_of	"{""type"": ""instance_of""}"
INST::366817::19::19::5::Федерации	INST::366817::19::19::4::Российской	amod	dep	"{""type"": ""dep"", ""label"": ""amod"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 19, \""sent_id\"": \""19\"", \""head_idx\"": 5, \""dep_idx\"": 4}""]}"
INST::366817::20::20::1::свидетельства	LEM::свидетельство::NOUN	instance_of	instance_of	"{""type"": ""instance_of""}"
INST::366817::20::20::1::свидетельства	INST::366817::20::20::1::свидетельства	ROOT	dep	"{""type"": ""dep"", ""label"": ""ROOT"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 20, \""sent_id\"": \""20\"", \""head_idx\"": 1, \""dep_idx\"": 1}""]}"
INST::366817::20::20::1::свидетельства	INST::366817::20::20::2::заключении	nmod	dep	"{""type"": ""dep"", ""label"": ""nmod"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 20, \""sent_id\"": \""20\"", \""head_idx\"": 1, \""dep_idx\"": 2}""]}"
INST::366817::20::20::1::свидетельства	INST::366817::20::20::2::заключении	adj	adj	"{""type"": ""adj"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 20, \""sent_id\"": \""20\"", \""i\"": 1}""]}"
INST::366817::20::20::1::свидетельства	INST::366817::20::20::4::изменении	nmod	dep	"{""type"": ""dep"", ""label"": ""nmod"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 20, \""sent_id\"": \""20\"", \""head_idx\"": 1, \""dep_idx\"": 4}""]}"
INST::366817::20::20::1::свидетельства	INST::366817::20::20::6::рождении	nmod	dep	"{""type"": ""dep"", ""label"": ""nmod"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 20, \""sent_id\"": \""20\"", \""head_idx\"": 1, \""dep_idx\"": 6}""]}"
INST::366817::20::20::2::заключении	LEM::заключение::NOUN	instance_of	instance_of	"{""type"": ""instance_of""}"
INST::366817::20::20::2::заключении	INST::366817::20::20::3::брака	nmod	dep	"{""type"": ""dep"", ""label"": ""nmod"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 20, \""sent_id\"": \""20\"", \""head_idx\"": 2, \""dep_idx\"": 3}""]}"
INST::366817::20::20::2::заключении	INST::366817::20::20::3::брака	adj	adj	"{""type"": ""adj"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 20, \""sent_id\"": \""20\"", \""i\"": 2}""]}"
INST::366817::20::20::3::брака	LEM::брак::NOUN	instance_of	instance_of	"{""type"": ""instance_of""}"
INST::366817::20::20::3::брака	INST::366817::20::20::4::изменении	adj	adj	"{""type"": ""adj"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 20, \""sent_id\"": \""20\"", \""i\"": 3}""]}"
INST::366817::20::20::4::изменении	LEM::изменение::NOUN	instance_of	instance_of	"{""type"": ""instance_of""}"
INST::366817::20::20::4::изменении	INST::366817::20::20::5::ФИО	nmod	dep	"{""type"": ""dep"", ""label"": ""nmod"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 20, \""sent_id\"": \""20\"", \""head_idx\"": 4, \""dep_idx\"": 5}""]}"
INST::366817::20::20::4::изменении	INST::366817::20::20::5::ФИО	adj	adj	"{""type"": ""adj"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 20, \""sent_id\"": \""20\"", \""i\"": 4}""]}"
INST::366817::20::20::5::ФИО	LEM::фио::PROPN	instance_of	instance_of	"{""type"": ""instance_of""}"
INST::366817::20::20::5::ФИО	INST::366817::20::20::6::рождении	adj	adj	"{""type"": ""adj"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 20, \""sent_id\"": \""20\"", \""i\"": 5}""]}"
INST::366817::20::20::6::рождении	LEM::рождение::NOUN	instance_of	instance_of	"{""type"": ""instance_of""}"
INST::366817::20::20::6::рождении	INST::366817::20::20::7::ребенка	nmod	dep	"{""type"": ""dep"", ""label"": ""nmod"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 20, \""sent_id\"": \""20\"", \""head_idx\"": 6, \""dep_idx\"": 7}""]}"
INST::366817::20::20::6::рождении	INST::366817::20::20::7::ребенка	adj	adj	"{""type"": ""adj"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 20, \""sent_id\"": \""20\"", \""i\"": 6}""]}"
INST::366817::20::20::6::рождении	INST::366817::20::20::8::другие	conj	dep	"{""type"": ""dep"", ""label"": ""conj"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 20, \""sent_id\"": \""20\"", \""head_idx\"": 6, \""dep_idx\"": 8}""]}"
INST::366817::20::20::7::ребенка	LEM::ребёнок::NOUN	instance_of	instance_of	"{""type"": ""instance_of""}"
INST::366817::20::20::7::ребенка	INST::366817::20::20::8::другие	adj	adj	"{""type"": ""adj"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 20, \""sent_id\"": \""20\"", \""i\"": 7}""]}"
INST::366817::20::20::8::другие	LEM::другие::ADJ	instance_of	instance_of	"{""type"": ""instance_of""}"
INST::366817::21::21::1::справка	LEM::справка::NOUN	instance_of	instance_of	"{""type"": ""instance_of""}"
INST::366817::21::21::1::справка	INST::366817::21::21::1::справка	ROOT	dep	"{""type"": ""dep"", ""label"": ""ROOT"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 21, \""sent_id\"": \""21\"", \""head_idx\"": 1, \""dep_idx\"": 1}""]}"
INST::366817::21::21::1::справка	INST::366817::21::21::3::консультации	nmod	dep	"{""type"": ""dep"", ""label"": ""nmod"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 21, \""sent_id\"": \""21\"", \""head_idx\"": 1, \""dep_idx\"": 3}""]}"
INST::366817::21::21::1::справка	INST::366817::21::21::2::женской	adj	adj	"{""type"": ""adj"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 21, \""sent_id\"": \""21\"", \""i\"": 1}""]}"
INST::366817::21::21::2::женской	LEM::женский::ADJ	instance_of	instance_of	"{""type"": ""instance_of""}"
INST::366817::21::21::2::женской	INST::366817::21::21::3::консультации	adj	adj	"{""type"": ""adj"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 21, \""sent_id\"": \""21\"", \""i\"": 2}""]}"
INST::366817::21::21::3::консультации	LEM::консультация::NOUN	instance_of	instance_of	"{""type"": ""instance_of""}"
INST::366817::21::21::3::консультации	INST::366817::21::21::2::женской	amod	dep	"{""type"": ""dep"", ""label"": ""amod"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 21, \""sent_id\"": \""21\"", \""head_idx\"": 3, \""dep_idx\"": 2}""]}"
INST::366817::21::21::3::консультации	INST::366817::21::21::4::том	nmod	dep	"{""type"": ""dep"", ""label"": ""nmod"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 21, \""sent_id\"": \""21\"", \""head_idx\"": 3, \""dep_idx\"": 4}""]}"
INST::366817::21::21::3::консультации	INST::366817::21::21::4::том	adj	adj	"{""type"": ""adj"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 21, \""sent_id\"": \""21\"", \""i\"": 3}""]}"
INST::366817::21::21::4::том	LEM::том::PRON	instance_of	instance_of	"{""type"": ""instance_of""}"
INST::366817::21::21::4::том	INST::366817::21::21::6::встала	acl	dep	"{""type"": ""dep"", ""label"": ""acl"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 21, \""sent_id\"": \""21\"", \""head_idx\"": 4, \""dep_idx\"": 6}""]}"
INST::366817::21::21::4::том	INST::366817::21::21::5::женщина	adj	adj	"{""type"": ""adj"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 21, \""sent_id\"": \""21\"", \""i\"": 4}""]}"
INST::366817::21::21::5::женщина	LEM::женщина::NOUN	instance_of	instance_of	"{""type"": ""instance_of""}"
INST::366817::21::21::5::женщина	INST::366817::21::21::6::встала	adj	adj	"{""type"": ""adj"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 21, \""sent_id\"": \""21\"", \""i\"": 5}""]}"
INST::366817::21::21::6::встала	LEM::встать::VERB	instance_of	instance_of	"{""type"": ""instance_of""}"
INST::366817::21::21::6::встала	INST::366817::21::21::5::женщина	nsubj	dep	"{""type"": ""dep"", ""label"": ""nsubj"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 21, \""sent_id\"": \""21\"", \""head_idx\"": 6, \""dep_idx\"": 5}""]}"
INST::366817::21::21::6::встала	INST::366817::21::21::7::учет	obl	dep	"{""type"": ""dep"", ""label"": ""obl"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 21, \""sent_id\"": \""21\"", \""head_idx\"": 6, \""dep_idx\"": 7}""]}"
INST::366817::21::21::6::встала	INST::366817::21::21::7::учет	adj	adj	"{""type"": ""adj"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 21, \""sent_id\"": \""21\"", \""i\"": 6}""]}"
INST::366817::21::21::6::встала	INST::366817::21::21::9::сроки	obl	dep	"{""type"": ""dep"", ""label"": ""obl"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 21, \""sent_id\"": \""21\"", \""head_idx\"": 6, \""dep_idx\"": 9}""]}"
INST::366817::21::21::7::учет	LEM::учёт::NOUN	instance_of	instance_of	"{""type"": ""instance_of""}"
INST::366817::21::21::7::учет	INST::366817::21::21::8::ранние	adj	adj	"{""type"": ""adj"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 21, \""sent_id\"": \""21\"", \""i\"": 7}""]}"
INST::366817::21::21::8::ранние	LEM::ранний::ADJ	instance_of	instance_of	"{""type"": ""instance_of""}"
INST::366817::21::21::8::ранние	INST::366817::21::21::9::сроки	adj	adj	"{""type"": ""adj"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 21, \""sent_id\"": \""21\"", \""i\"": 8}""]}"
INST::366817::21::21::9::сроки	LEM::срок::NOUN	instance_of	instance_of	"{""type"": ""instance_of""}"
INST::366817::21::21::9::сроки	INST::366817::21::21::8::ранние	amod	dep	"{""type"": ""dep"", ""label"": ""amod"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 21, \""sent_id\"": \""21\"", \""head_idx\"": 9, \""dep_idx\"": 8}""]}"
INST::366817::21::21::9::сроки	INST::366817::21::21::10::беременности	nmod	dep	"{""type"": ""dep"", ""label"": ""nmod"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 21, \""sent_id\"": \""21\"", \""head_idx\"": 9, \""dep_idx\"": 10}""]}"
INST::366817::21::21::9::сроки	INST::366817::21::21::10::беременности	adj	adj	"{""type"": ""adj"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 21, \""sent_id\"": \""21\"", \""i\"": 9}""]}"
INST::366817::21::21::10::беременности	LEM::беременность::NOUN	instance_of	instance_of	"{""type"": ""instance_of""}"
INST::366817::22::22::1::нет	LEM::нет::VERB	instance_of	instance_of	"{""type"": ""instance_of""}"
INST::366817::22::22::1::нет	INST::366817::22::22::1::нет	ROOT	dep	"{""type"": ""dep"", ""label"": ""ROOT"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 22, \""sent_id\"": \""22\"", \""head_idx\"": 1, \""dep_idx\"": 1}""]}"
INST::366817::22::22::1::нет	INST::366817::22::22::3::сертификата	nsubj	dep	"{""type"": ""dep"", ""label"": ""nsubj"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 22, \""sent_id\"": \""22\"", \""head_idx\"": 1, \""dep_idx\"": 3}""]}"
INST::366817::22::22::1::нет	INST::366817::22::22::2::родового	adj	adj	"{""type"": ""adj"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 22, \""sent_id\"": \""22\"", \""i\"": 1}""]}"
INST::366817::22::22::2::родового	LEM::родовой::ADJ	instance_of	instance_of	"{""type"": ""instance_of""}"
INST::366817::22::22::2::родового	INST::366817::22::22::3::сертификата	adj	adj	"{""type"": ""adj"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 22, \""sent_id\"": \""22\"", \""i\"": 2}""]}"
INST::366817::22::22::3::сертификата	LEM::сертификат::NOUN	instance_of	instance_of	"{""type"": ""instance_of""}"
INST::366817::22::22::3::сертификата	INST::366817::22::22::2::родового	amod	dep	"{""type"": ""dep"", ""label"": ""amod"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 22, \""sent_id\"": \""22\"", \""head_idx\"": 3, \""dep_idx\"": 2}""]}"
INST::366817::23::23::1::сведения	LEM::сведение::NOUN	instance_of	instance_of	"{""type"": ""instance_of""}"
INST::366817::23::23::1::сведения	INST::366817::23::23::1::сведения	ROOT	dep	"{""type"": ""dep"", ""label"": ""ROOT"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 23, \""sent_id\"": \""23\"", \""head_idx\"": 1, \""dep_idx\"": 1}""]}"
INST::366817::23::23::1::сведения	INST::366817::23::23::2::доходе	nmod	dep	"{""type"": ""dep"", ""label"": ""nmod"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 23, \""sent_id\"": \""23\"", \""head_idx\"": 1, \""dep_idx\"": 2}""]}"
INST::366817::23::23::1::сведения	INST::366817::23::23::2::доходе	adj	adj	"{""type"": ""adj"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 23, \""sent_id\"": \""23\"", \""i\"": 1}""]}"
INST::366817::23::23::2::доходе	LEM::доход::NOUN	instance_of	instance_of	"{""type"": ""instance_of""}"
INST::366817::23::23::2::доходе	INST::366817::23::23::4::членов	nmod	dep	"{""type"": ""dep"", ""label"": ""nmod"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 23, \""sent_id\"": \""23\"", \""head_idx\"": 2, \""dep_idx\"": 4}""]}"
INST::366817::23::23::2::доходе	INST::366817::23::23::9::месяцев	nmod	dep	"{""type"": ""dep"", ""label"": ""nmod"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 23, \""sent_id\"": \""23\"", \""head_idx\"": 2, \""dep_idx\"": 9}""]}"
INST::366817::23::23::2::доходе	INST::366817::23::23::3::всех	adj	adj	"{""type"": ""adj"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 23, \""sent_id\"": \""23\"", \""i\"": 2}""]}"
INST::366817::23::23::3::всех	LEM::весь::DET	instance_of	instance_of	"{""type"": ""instance_of""}"
INST::366817::23::23::3::всех	INST::366817::23::23::4::членов	adj	adj	"{""type"": ""adj"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 23, \""sent_id\"": \""23\"", \""i\"": 3}""]}"
INST::366817::23::23::4::членов	LEM::член::NOUN	instance_of	instance_of	"{""type"": ""instance_of""}"
INST::366817::23::23::4::членов	INST::366817::23::23::3::всех	det	dep	"{""type"": ""dep"", ""label"": ""det"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 23, \""sent_id\"": \""23\"", \""head_idx\"": 4, \""dep_idx\"": 3}""]}"
INST::366817::23::23::4::членов	INST::366817::23::23::5::семьи	nmod	dep	"{""type"": ""dep"", ""label"": ""nmod"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 23, \""sent_id\"": \""23\"", \""head_idx\"": 4, \""dep_idx\"": 5}""]}"
INST::366817::23::23::4::членов	INST::366817::23::23::5::семьи	adj	adj	"{""type"": ""adj"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 23, \""sent_id\"": \""23\"", \""i\"": 4}""]}"
INST::366817::23::23::5::семьи	LEM::семья::NOUN	instance_of	instance_of	"{""type"": ""instance_of""}"
INST::366817::23::23::5::семьи	INST::366817::23::23::6::последние	adj	adj	"{""type"": ""adj"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 23, \""sent_id\"": \""23\"", \""i\"": 5}""]}"
INST::366817::23::23::6::последние	LEM::последний::ADJ	instance_of	instance_of	"{""type"": ""instance_of""}"
INST::366817::23::23::6::последние	INST::366817::23::23::7::12	adj	adj	"{""type"": ""adj"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 23, \""sent_id\"": \""23\"", \""i\"": 6}""]}"
INST::366817::23::23::7::12	LEM::12::NUM	instance_of	instance_of	"{""type"": ""instance_of""}"
INST::366817::23::23::7::12	INST::366817::23::23::6::последние	amod	dep	"{""type"": ""dep"", ""label"": ""amod"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 23, \""sent_id\"": \""23\"", \""head_idx\"": 7, \""dep_idx\"": 6}""]}"
INST::366817::23::23::7::12	INST::366817::23::23::8::календарных	adj	adj	"{""type"": ""adj"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 23, \""sent_id\"": \""23\"", \""i\"": 7}""]}"
INST::366817::23::23::8::календарных	LEM::календарный::ADJ	instance_of	instance_of	"{""type"": ""instance_of""}"
INST::366817::23::23::8::календарных	INST::366817::23::23::9::месяцев	adj	adj	"{""type"": ""adj"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 23, \""sent_id\"": \""23\"", \""i\"": 8}""]}"
INST::366817::23::23::9::месяцев	LEM::месяц::NOUN	instance_of	instance_of	"{""type"": ""instance_of""}"
INST::366817::23::23::9::месяцев	INST::366817::23::23::7::12	nummod	dep	"{""type"": ""dep"", ""label"": ""nummod"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 23, \""sent_id\"": \""23\"", \""head_idx\"": 9, \""dep_idx\"": 7}""]}"
INST::366817::23::23::9::месяцев	INST::366817::23::23::8::календарных	amod	dep	"{""type"": ""dep"", ""label"": ""amod"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 23, \""sent_id\"": \""23\"", \""head_idx\"": 9, \""dep_idx\"": 8}""]}"
INST::366817::23::23::9::месяцев	INST::366817::23::23::10::предшествующих	acl	dep	"{""type"": ""dep"", ""label"": ""acl"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 23, \""sent_id\"": \""23\"", \""head_idx\"": 9, \""dep_idx\"": 10}""]}"
INST::366817::23::23::9::месяцев	INST::366817::23::23::10::предшествующих	adj	adj	"{""type"": ""adj"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 23, \""sent_id\"": \""23\"", \""i\"": 9}""]}"
INST::366817::23::23::10::предшествующих	LEM::предшествовать::VERB	instance_of	instance_of	"{""type"": ""instance_of""}"
INST::366817::23::23::10::предшествующих	INST::366817::23::23::12::месяцу	iobj	dep	"{""type"": ""dep"", ""label"": ""iobj"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 23, \""sent_id\"": \""23\"", \""head_idx\"": 10, \""dep_idx\"": 12}""]}"
INST::366817::23::23::10::предшествующих	INST::366817::23::23::13::месяцем	obl	dep	"{""type"": ""dep"", ""label"": ""obl"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 23, \""sent_id\"": \""23\"", \""head_idx\"": 10, \""dep_idx\"": 13}""]}"
INST::366817::23::23::10::предшествующих	INST::366817::23::23::11::одному	adj	adj	"{""type"": ""adj"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 23, \""sent_id\"": \""23\"", \""i\"": 10}""]}"
INST::366817::23::23::11::одному	LEM::одному::NUM	instance_of	instance_of	"{""type"": ""instance_of""}"
INST::366817::23::23::11::одному	INST::366817::23::23::12::месяцу	adj	adj	"{""type"": ""adj"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 23, \""sent_id\"": \""23\"", \""i\"": 11}""]}"
INST::366817::23::23::12::месяцу	LEM::месяц::NOUN	instance_of	instance_of	"{""type"": ""instance_of""}"
INST::366817::23::23::12::месяцу	INST::366817::23::23::11::одному	nummod	dep	"{""type"": ""dep"", ""label"": ""nummod"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 23, \""sent_id\"": \""23\"", \""head_idx\"": 12, \""dep_idx\"": 11}""]}"
INST::366817::23::23::12::месяцу	INST::366817::23::23::13::месяцем	adj	adj	"{""type"": ""adj"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 23, \""sent_id\"": \""23\"", \""i\"": 12}""]}"
INST::366817::23::23::13::месяцем	LEM::месяц::NOUN	instance_of	instance_of	"{""type"": ""instance_of""}"
INST::366817::23::23::13::месяцем	INST::366817::23::23::14::обращения	nmod	dep	"{""type"": ""dep"", ""label"": ""nmod"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 23, \""sent_id\"": \""23\"", \""head_idx\"": 13, \""dep_idx\"": 14}""]}"
INST::366817::23::23::13::месяцем	INST::366817::23::23::14::обращения	adj	adj	"{""type"": ""adj"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 23, \""sent_id\"": \""23\"", \""i\"": 13}""]}"
INST::366817::23::23::14::обращения	LEM::обращение::NOUN	instance_of	instance_of	"{""type"": ""instance_of""}"
INST::366817::24::24::1::документ	LEM::документ::NOUN	instance_of	instance_of	"{""type"": ""instance_of""}"
INST::366817::24::24::1::документ	INST::366817::24::24::1::документ	ROOT	dep	"{""type"": ""dep"", ""label"": ""ROOT"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 24, \""sent_id\"": \""24\"", \""head_idx\"": 1, \""dep_idx\"": 1}""]}"
INST::366817::24::24::1::документ	INST::366817::24::24::2::подтверждающий	acl	dep	"{""type"": ""dep"", ""label"": ""acl"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 24, \""sent_id\"": \""24\"", \""head_idx\"": 1, \""dep_idx\"": 2}""]}"
INST::366817::24::24::1::документ	INST::366817::24::24::2::подтверждающий	adj	adj	"{""type"": ""adj"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 24, \""sent_id\"": \""24\"", \""i\"": 1}""]}"
INST::366817::24::24::2::подтверждающий	LEM::подтверждать::VERB	instance_of	instance_of	"{""type"": ""instance_of""}"
INST::366817::24::24::2::подтверждающий	INST::366817::24::24::3::получение	obj	dep	"{""type"": ""dep"", ""label"": ""obj"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 24, \""sent_id\"": \""24\"", \""head_idx\"": 2, \""dep_idx\"": 3}""]}"
INST::366817::24::24::2::подтверждающий	INST::366817::24::24::3::получение	adj	adj	"{""type"": ""adj"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 24, \""sent_id\"": \""24\"", \""i\"": 2}""]}"
INST::366817::24::24::3::получение	LEM::получение::NOUN	instance_of	instance_of	"{""type"": ""instance_of""}"
INST::366817::24::24::3::получение	INST::366817::24::24::4::кредита	nmod	dep	"{""type"": ""dep"", ""label"": ""nmod"", ""occurrences"": [""{\""article_id\"": \""366817\"", \""row_idx\"": 24, \""sent_id\"": \""24\"", \""head_idx\"": 3, \""dep_idx\"": 4}""]}"
